Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0567,2.51633,1.42137,3.05226
0.0568,2.5165,1.78727,3.05778
0.0569,2.51457,1.71409,3.06427
0.057,2.51387,1.86045,3.07036
0.0571,2.51282,1.78727,3.07594
0.0572,2.51229,1.71409,3.08144
0.0573,2.51159,1.71409,3.08773
0.0574,2.51088,2.00681,3.09374
0.0575,2.51053,2.07999,3.09959
0.0576,2.51229,1.86045,3.10483
0.0577,2.51475,1.78727,3.10983
0.0578,2.51545,2.07999,3.11496
0.0579,2.51615,2.15317,3.11958
0.058,2.51615,1.71409,3.12502
0.0581,2.51633,1.93363,3.13052
0.0582,2.51738,2.07999,3.13563
0.0583,2.51756,1.86045,3.14136
0.0584,2.51879,1.71409,3.14652
0.0585,2.52002,1.86045,3.15133
0.0586,2.51861,1.86045,3.15595
0.0587,2.51773,1.78727,3.16162
0.0588,2.51738,1.71409,3.1676
0.0589,2.51563,1.78727,3.1737
0.059,2.51387,2.00681,3.1799
0.0591,2.51387,1.78727,3.1856
0.0592,2.51492,1.71409,3.19092
0.0593,2.5151,1.86045,3.19648
0.0594,2.51545,1.93363,3.2022
0.0595,2.5165,1.86045,3.20824
0.0596,2.51668,1.71409,3.2145
0.0597,2.51738,1.64091,3.22054
0.0598,2.51563,2.00681,3.22758
0.0599,2.51545,1.78727,3.23413
0.06,2.51387,1.56773,3.24046
0.0601,2.51317,1.78727,3.24557
0.0602,2.51246,1.86045,3.25175
0.0603,2.51457,1.71409,3.25702
0.0604,2.5165,1.86045,3.26174
0.0605,2.51844,2.15317,3.26656
0.0606,2.51967,2.07999,3.27165
0.0607,2.51949,1.20183,3.27735
0.0608,2.51896,1.64091,3.28343
0.0609,2.51826,1.93363,3.28985
0.061,2.51809,2.00681,3.29615
0.0611,2.51633,1.78727,3.30298
0.0612,2.51738,1.71409,3.30916
0.0613,2.5151,2.00681,3.3167
0.0614,2.51369,2.00681,3.32391
0.0615,2.51229,1.78727,3.33067
0.0616,2.51369,1.86045,3.33541
0.0617,2.51633,1.78727,3.34028
0.0618,2.5158,1.93363,3.34635
0.0619,2.51668,2.07999,3.3521
0.062,2.5158,1.93363,3.35881
0.0621,2.5165,2.07999,3.36507
0.0622,2.51791,1.71409,3.37096
0.0623,2.51615,2.00681,3.37708
0.0624,2.51686,1.86045,3.38262
0.0625,2.51703,2.07999,3.38863
0.0626,2.51703,1.93363,3.39463
0.0627,2.51615,1.71409,3.40134
0.0628,2.51492,1.93363,3.40826
0.0629,2.51475,2.00681,3.41463
0.063,2.51615,1.86045,3.41967
0.0631,2.51738,1.86045,3.42452
0.0632,2.51844,1.64091,3.43017
0.0633,2.51932,2.37271,3.43568
0.0634,2.51896,2.22635,3.44178
0.0635,2.51932,1.86045,3.44809
0.0636,2.51879,2.00681,3.4547
0.0637,2.51791,2.29953,3.4613
0.0638,2.51703,2.07999,3.46762
0.0639,2.51633,2.07999,3.47415
0.064,2.51738,1.78727,3.47999
0.0641,2.51844,2.07999,3.48573
0.0642,2.51932,1.71409,3.49173
0.0643,2.51984,2.15317,3.49789
0.0644,2.51984,2.07999,3.50405
0.0645,2.52037,1.86045,3.50892
0.0646,2.51967,2.07999,3.51468
0.0647,2.52054,1.64091,3.52062
0.0648,2.51914,2.15317,3.52732
0.0649,2.51967,2.15317,3.5334
0.065,2.52072,2.00681,3.53931
0.0651,2.52195,1.93363,3.5452
0.0652,2.52336,1.20183,3.55071
0.0653,2.52406,2.22635,3.55604
0.0654,2.52494,2.15317,3.56194
0.0655,2.52581,2.15317,3.56794
0.0656,2.52634,2.15317,3.57398
0.0657,2.52617,1.12865,3.5803
0.0658,2.52564,2.07999,3.58679
0.0659,2.52511,2.15317,3.59313
0.066,2.52494,2.07999,3.5986
0.0661,2.52476,2.37271,3.60476
0.0662,2.52458,1.86045,3.6111
0.0663,2.52529,2.29953,3.61645
0.0664,2.52634,2.15317,3.62214
0.0665,2.52564,2.00681,3.6287
0.0666,2.52494,2.07999,3.63523
0.0667,2.52318,1.86045,3.64146
0.0668,2.52529,2.15317,3.64642
0.0669,2.52687,2.00681,3.65221
0.067,2.52775,2.37271,3.6582
0.0671,2.52862,2.44589,3.66387
0.0672,2.52898,2.07999,3.66984
0.0673,2.52933,2.29953,3.6761
0.0674,2.52898,2.73861,3.68245
0.0675,2.52862,2.07999,3.68814
0.0676,2.5288,2.22635,3.69382
0.0677,2.53056,2.37271,3.69956
0.0678,2.53196,2.07999,3.70514
0.0679,2.53389,2.29953,3.71063
0.068,2.5353,2.15317,3.71667
0.0681,2.53425,2.29953,3.72335
0.0682,2.53495,2.29953,3.72872
